"","iso3_iu0","highest_ess_model"
"534","NGA36911","mansoni_high_burden"
"535","SEN40195","mansoni_high_burden"
"536","NGA36530","mansoni_high_burden"
"537","SEN40197","mansoni_high_burden"
"538","GHA21571","mansoni_low_burden"
"539","GHA21407","mansoni_high_burden"
"540","NGA36915","mansoni_low_burden"
"541","GHA21511","mansoni_high_burden"
"542","ETH18666","mansoni_low_burden"
"543","GHA21453","mansoni_low_burden"
"544","COD13868","mansoni_high_burden"
"545","AGO02201","mansoni_low_burden"
"546","SEN40223","mansoni_low_burden"
"547","SEN40225","mansoni_low_burden"
"548","NGA36542","mansoni_high_burden"
"549","NGA36815","mansoni_low_burden"
"550","SEN40214","mansoni_high_burden"
"551","NGA36527","mansoni_low_burden"
"552","NGA36537","mansoni_low_burden"
"553","NGA36536","mansoni_low_burden"
"554","NGA36531","mansoni_high_burden"
"555","NGA36828","mansoni_high_burden"
"556","NGA37043","mansoni_high_burden"
"557","NGA36605","mansoni_high_burden"
"558","NGA37106","mansoni_high_burden"
"559","NGA37099","mansoni_low_burden"
"560","BEN03250","mansoni_high_burden"
"561","AGO02205","mansoni_low_burden"
"562","GHA21382","mansoni_low_burden"
"563","GHA21490","mansoni_high_burden"
"564","NGA36353","mansoni_high_burden"
"565","COG12765","mansoni_high_burden"
"566","NGA36656","mansoni_high_burden"
"567","NGA36663","mansoni_low_burden"
"568","COD14042","mansoni_low_burden"
"569","NGA36569","mansoni_low_burden"
"570","NGA36923","mansoni_high_burden"
"571","NGA36937","mansoni_low_burden"
"572","NGA36352","mansoni_low_burden"
"573","NGA36541","mansoni_high_burden"
"574","NGA36936","mansoni_low_burden"
"575","NGA36343","mansoni_high_burden"
"576","NGA36528","mansoni_high_burden"
"577","NGA36532","mansoni_high_burden"
"578","NGA36540","mansoni_high_burden"
"579","TGO48701","mansoni_low_burden"
"580","MLI30027","mansoni_high_burden"
"581","TGO48666","mansoni_high_burden"
"582","TGO48668","mansoni_low_burden"
"583","TGO48704","mansoni_low_burden"
"584","TGO48695","mansoni_low_burden"
"585","TGO48669","mansoni_high_burden"
"586","TGO48673","mansoni_low_burden"
"587","MOZ33253","mansoni_high_burden"
"588","MOZ33257","mansoni_high_burden"
"589","MOZ33244","mansoni_low_burden"
"590","MOZ33212","mansoni_high_burden"
"591","MLI30033","mansoni_low_burden"
"592","TGO48676","mansoni_high_burden"
"593","TGO48674","mansoni_high_burden"
"594","TGO48672","mansoni_high_burden"
"595","TGO48705","mansoni_high_burden"
"596","TGO48670","mansoni_low_burden"
"597","MOZ33235","mansoni_high_burden"
"598","MOZ33213","mansoni_high_burden"
"599","MOZ33220","mansoni_high_burden"
"600","MOZ33114","mansoni_high_burden"
"601","ERI17429","mansoni_low_burden"
"602","ERI17441","mansoni_low_burden"
"603","MLI30030","mansoni_high_burden"
"604","MLI30032","mansoni_high_burden"
"605","MLI30034","mansoni_high_burden"
"606","MOZ33108","mansoni_low_burden"
"607","MOZ33217","mansoni_high_burden"
"608","GHA21476","mansoni_high_burden"
"609","SEN40160","mansoni_high_burden"
"610","GHA21384","mansoni_high_burden"
"611","GHA21570","mansoni_high_burden"
"612","GHA21394","mansoni_low_burden"
"613","GHA21539","mansoni_high_burden"
"614","ETH18878","mansoni_low_burden"
"615","GHA21391","mansoni_low_burden"
"616","ETH18665","mansoni_high_burden"
"617","SEN40180","mansoni_high_burden"
"618","COD14041","mansoni_high_burden"
"619","NGA36611","mansoni_low_burden"
"620","NGA36930","mansoni_high_burden"
"621","NGA36932","mansoni_high_burden"
"622","NGA36906","mansoni_low_burden"
"623","NGA37070","mansoni_low_burden"
"624","NGA36523","mansoni_low_burden"
"625","NGA36543","mansoni_low_burden"
"626","ETH19192","mansoni_low_burden"
"627","SEN40191","mansoni_high_burden"
"628","SEN40205","mansoni_high_burden"
"629","SEN40165","mansoni_high_burden"
"630","SEN40167","mansoni_high_burden"
"631","SEN40211","mansoni_low_burden"
"632","SEN40182","mansoni_high_burden"
"633","SEN40173","mansoni_high_burden"
"634","SEN40194","mansoni_high_burden"
"635","SEN40174","mansoni_low_burden"
"636","SEN40172","mansoni_low_burden"
"637","SEN40198","mansoni_low_burden"
"638","SEN40188","mansoni_low_burden"
"639","GHA21482","mansoni_high_burden"
"640","GHA21461","mansoni_high_burden"
"641","GHA21478","mansoni_high_burden"
"642","SEN40210","mansoni_low_burden"
"643","SEN40224","mansoni_low_burden"
"644","SEN40208","mansoni_low_burden"
"645","GHA21399","mansoni_high_burden"
"646","GHA21471","mansoni_high_burden"
"647","ETH18579","mansoni_high_burden"
"648","NGA36834","mansoni_high_burden"
"649","AGO02204","mansoni_low_burden"
"650","GHA21576","mansoni_high_burden"
"651","GHA21551","mansoni_low_burden"
"652","GHA21578","mansoni_high_burden"
"653","GHA21581","mansoni_low_burden"
"654","GHA21456","mansoni_low_burden"
"655","GHA21540","mansoni_low_burden"
"656","GHA21574","mansoni_low_burden"
"657","GHA21603","mansoni_low_burden"
"658","GHA21397","mansoni_low_burden"
"659","ETH18616","mansoni_high_burden"
"660","GHA21560","mansoni_high_burden"
"661","ETH18783","mansoni_low_burden"
"662","ETH18935","mansoni_low_burden"
"663","GHA21534","mansoni_low_burden"
"664","SEN40190","mansoni_high_burden"
"665","ETH18901","mansoni_high_burden"
"666","NGA37015","mansoni_high_burden"
"667","NGA36874","mansoni_low_burden"
"668","NGA37002","mansoni_high_burden"
"669","NGA37006","mansoni_high_burden"
"670","NGA37013","mansoni_high_burden"
"671","NGA36865","mansoni_high_burden"
"672","SEN40200","mansoni_high_burden"
"673","BEN03243","mansoni_high_burden"
"674","BEN03235","mansoni_low_burden"
"675","BEN03238","mansoni_low_burden"
"676","BEN03251","mansoni_low_burden"
"677","BEN03223","mansoni_low_burden"
"678","SEN40213","mansoni_low_burden"
"679","SEN40219","mansoni_high_burden"
"680","NGA37041","mansoni_low_burden"
"681","NGA36561","mansoni_low_burden"
"682","NGA36568","mansoni_low_burden"
"683","ZWE52915","mansoni_high_burden"
"684","ETH19133","mansoni_high_burden"
"685","ZWE52963","mansoni_low_burden"
"686","ZWE52917","mansoni_low_burden"
"687","SEN40171","mansoni_low_burden"
"688","SEN40192","mansoni_high_burden"
"689","SEN40185","mansoni_high_burden"
"690","AGO02193","mansoni_low_burden"
"691","AGO02202","mansoni_low_burden"
"692","AGO02207","mansoni_low_burden"
